"poll_id","source_poll_id","poll_name","issue_id","pair_id","group_id","group_key","net_change","gross_change","n_complete"
13,92,"National Issues Convention 2","nic2.t1inter","13:9224::nic2.t1inter","9224","13:9224",0.0227272727272727,0.159090909090909,11
13,92,"National Issues Convention 2","nic2.t1global","13:9201::nic2.t1global","9201","13:9201",0.148148143291473,0.184814814726512,15
13,92,"National Issues Convention 2","nic2.t1global","13:9202::nic2.t1global","9202","13:9202",0.0479444364706676,0.100907399257024,15
13,92,"National Issues Convention 2","nic2.t1global","13:9203::nic2.t1global","9203","13:9203",0.0521527845412495,0.0928472224622965,16
13,92,"National Issues Convention 2","nic2.t1global","13:9204::nic2.t1global","9204","13:9204",0.0738888839880625,0.133888886372248,15
13,92,"National Issues Convention 2","nic2.t1global","13:9205::nic2.t1global","9205","13:9205",0.128273812787873,0.133035721523421,14
13,92,"National Issues Convention 2","nic2.t1global","13:9206::nic2.t1global","9206","13:9206",0.131047010421753,0.143440164052523,13
13,92,"National Issues Convention 2","nic2.t1global","13:9207::nic2.t1global","9207","13:9207",0.0966145759448408,0.174739587120712,16
13,92,"National Issues Convention 2","nic2.t1global","13:9208::nic2.t1global","9208","13:9208",0.0910256367463332,0.0948717960944543,13
13,92,"National Issues Convention 2","nic2.t1global","13:9209::nic2.t1global","9209","13:9209",0.0832738120641027,0.169107135917459,14
13,92,"National Issues Convention 2","nic2.t1global","13:9210::nic2.t1global","9210","13:9210",0.089246030364718,0.174166662352426,14
13,92,"National Issues Convention 2","nic2.t1global","13:9211::nic2.t1global","9211","13:9211",0.142956352659634,0.16557539999485,14
13,92,"National Issues Convention 2","nic2.t1global","13:9212::nic2.t1global","9212","13:9212",0.100476196834019,0.108809530735016,14
13,92,"National Issues Convention 2","nic2.t1global","13:9213::nic2.t1global","9213","13:9213",0.151370360329747,0.151370360329747,15
13,92,"National Issues Convention 2","nic2.t1global","13:9214::nic2.t1global","9214","13:9214",0.148129634062449,0.167388888200124,15
13,92,"National Issues Convention 2","nic2.t1global","13:9215::nic2.t1global","9215","13:9215",0.0638888925313948,0.114682548812457,14
13,92,"National Issues Convention 2","nic2.t1global","13:9216::nic2.t1global","9216","13:9216",0.0482142865657806,0.0898809560707636,14
13,92,"National Issues Convention 2","nic2.t1global","13:9217::nic2.t1global","9217","13:9217",0.0730341764596793,0.107905970169948,13
13,92,"National Issues Convention 2","nic2.t1global","13:9218::nic2.t1global","9218","13:9218",0.0210042687562796,0.156346156046941,13
13,92,"National Issues Convention 2","nic2.t1global","13:9219::nic2.t1global","9219","13:9219",0.0660590194165705,0.102864570915699,16
13,92,"National Issues Convention 2","nic2.t1global","13:9220::nic2.t1global","9220","13:9220",0.140476190618106,0.190476202539035,14
13,92,"National Issues Convention 2","nic2.t1global","13:9221::nic2.t1global","9221","13:9221",0.0931481550137202,0.139740748206774,15
13,92,"National Issues Convention 2","nic2.t1global","13:9222::nic2.t1global","9222","13:9222",0.175486102079352,0.179837956403692,12
13,92,"National Issues Convention 2","nic2.t1global","13:9223::nic2.t1global","9223","13:9223",0.0702380921159471,0.146230159061295,14
13,92,"National Issues Convention 2","nic2.t1global","13:9224::nic2.t1global","9224","13:9224",0.0152777805924414,0.0861111059784891,12
13,92,"National Issues Convention 2","nic2.t1demo","13:9201::nic2.t1demo","9201","13:9201",0.0258518517017364,0.145111113786697,15
13,92,"National Issues Convention 2","nic2.t1demo","13:9202::nic2.t1demo","9202","13:9202",0.0675925960143405,0.136111115415891,15
13,92,"National Issues Convention 2","nic2.t1demo","13:9203::nic2.t1demo","9203","13:9203",0.0520138889551164,0.131736107170582,16
13,92,"National Issues Convention 2","nic2.t1demo","13:9204::nic2.t1demo","9204","13:9204",0.0267407457033793,0.159925921758016,15
13,92,"National Issues Convention 2","nic2.t1demo","13:9205::nic2.t1demo","9205","13:9205",0.0575396801744187,0.146428563765117,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9206::nic2.t1demo","9206","13:9206",0.0536324771550987,0.156196578190877,13
13,92,"National Issues Convention 2","nic2.t1demo","13:9207::nic2.t1demo","9207","13:9207",0.115625001490116,0.144444447010756,16
13,92,"National Issues Convention 2","nic2.t1demo","13:9208::nic2.t1demo","9208","13:9208",0.109700845984312,0.14730768593458,13
13,92,"National Issues Convention 2","nic2.t1demo","13:9209::nic2.t1demo","9209","13:9209",0.0309523854936872,0.0944444494588036,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9210::nic2.t1demo","9210","13:9210",0.0287698427481311,0.108928569193397,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9211::nic2.t1demo","9211","13:9211",0.0731746022190367,0.157698407769203,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9212::nic2.t1demo","9212","13:9212",0.028611108660698,0.122579372354916,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9213::nic2.t1demo","9213","13:9213",0.103518512845039,0.182037030657132,15
13,92,"National Issues Convention 2","nic2.t1demo","13:9214::nic2.t1demo","9214","13:9214",0.111481476823489,0.204518509904544,15
13,92,"National Issues Convention 2","nic2.t1demo","13:9215::nic2.t1demo","9215","13:9215",0.0413888841867446,0.116150785769735,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9216::nic2.t1demo","9216","13:9216",0.0158730106694359,0.105158733470099,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9217::nic2.t1demo","9217","13:9217",0.0497863200994638,0.128846150178176,13
13,92,"National Issues Convention 2","nic2.t1demo","13:9218::nic2.t1demo","9218","13:9218",0.0651709506144891,0.192948715044902,13
13,92,"National Issues Convention 2","nic2.t1demo","13:9219::nic2.t1demo","9219","13:9219",0.112291648983955,0.118194431066513,16
13,92,"National Issues Convention 2","nic2.t1demo","13:9220::nic2.t1demo","9220","13:9220",0.106746032834053,0.159523817045348,14
13,92,"National Issues Convention 2","nic2.t1demo","13:9221::nic2.t1demo","9221","13:9221",0.0867407480875652,0.155259251594543,15
13,92,"National Issues Convention 2","nic2.t1demo","13:9222::nic2.t1demo","9222","13:9222",0.123194433748722,0.157083330055078,12
13,92,"National Issues Convention 2","nic2.t1demo","13:9223::nic2.t1demo","9223","13:9223",0.0450992158481053,0.160575406891959,14
