event_id,construct,membership,metric,pairs,mean,positive_fraction,specification
whatsapp_gen_HH,affect,available,h,940,0.015232885445774018,0.33191489361702126,primary
whatsapp_gen_HH,affect,available,p,736,-0.06929347826086954,0.19972826086956522,primary
whatsapp_gen_HH,affect,available,p_absolute,990,0.005429292929292966,0.32626262626262625,primary
whatsapp_gen_HH,stereotype_judgment,available,d_combined,68,-0.012867647058823532,0.29411764705882354,primary
whatsapp_gen_HH,stereotype_judgment,available,d_education,164,-0.022103658536585396,0.3170731707317073,primary
whatsapp_gen_HH,stereotype_judgment,available,d_gender,0,NA,NA,primary
whatsapp_gen_HH,stereotype_judgment,available,d_income,312,-0.001201923076923057,0.33653846153846156,primary
whatsapp_gen_HH,stereotype_judgment,available,h,760,-0.001395605489183963,0.2986842105263158,primary
whatsapp_gen_HH,stereotype_judgment,available,p,0,NA,NA,primary
whatsapp_gen_HH,stereotype_judgment,available,p_absolute,0,NA,NA,primary
whatsapp_gen_HM,affect,available,d_combined,114,0.02631578947368419,0.4473684210526316,primary
whatsapp_gen_HM,affect,available,d_education,164,0.019054878048780498,0.42073170731707316,primary
whatsapp_gen_HM,affect,available,d_gender,0,NA,NA,primary
whatsapp_gen_HM,affect,available,d_income,329,0.022036474164133776,0.40425531914893614,primary
whatsapp_gen_HM,affect,available,h,740,0.008838834764831821,0.327027027027027,primary
whatsapp_gen_HM,affect,available,p,630,-0.07757936507936511,0.1984126984126984,primary
whatsapp_gen_HM,affect,available,p_absolute,800,-7.812499999999369e-4,0.33125,primary
whatsapp_gen_HM,stereotype_judgment,available,d_combined,106,0.017688679245283025,0.4056603773584906,primary
whatsapp_gen_HM,stereotype_judgment,available,d_education,144,0.015625,0.4375,primary
whatsapp_gen_HM,stereotype_judgment,available,d_gender,0,NA,NA,primary
whatsapp_gen_HM,stereotype_judgment,available,d_income,265,0.014622641509433931,0.3622641509433962,primary
whatsapp_gen_HM,stereotype_judgment,available,h,600,0.025927248643506734,0.3383333333333333,primary
whatsapp_gen_HM,stereotype_judgment,available,p,0,NA,NA,primary
whatsapp_gen_HM,stereotype_judgment,available,p_absolute,0,NA,NA,primary
whatsapp_igr_HH,affect,available,d_combined,16,-0.0078125,0.375,primary
whatsapp_igr_HH,affect,available,d_education,94,0.009308510638297861,0.3829787234042553,primary
whatsapp_igr_HH,affect,available,d_gender,0,NA,NA,primary
whatsapp_igr_HH,affect,available,d_income,288,0.00390625,0.3645833333333333,primary
whatsapp_igr_HH,affect,available,h,870,0.012597879434932707,0.3333333333333333,primary
whatsapp_igr_HH,affect,available,p,687,-0.0827874818049489,0.18340611353711792,primary
whatsapp_igr_HH,affect,available,p_absolute,920,0.008152173913043494,0.3391304347826087,primary
whatsapp_igr_HH,stereotype_judgment,available,d_combined,12,0.03125,0.3333333333333333,primary
whatsapp_igr_HH,stereotype_judgment,available,d_education,76,-0.03125,0.2631578947368421,primary
whatsapp_igr_HH,stereotype_judgment,available,d_gender,0,NA,NA,primary
whatsapp_igr_HH,stereotype_judgment,available,d_income,237,-0.020042194092826995,0.2742616033755274,primary
whatsapp_igr_HH,stereotype_judgment,available,h,696,-0.0015239370284192753,0.2959770114942529,primary
whatsapp_igr_HH,stereotype_judgment,available,p,0,NA,NA,primary
whatsapp_igr_HH,stereotype_judgment,available,p_absolute,0,NA,NA,primary
whatsapp_igr_HM,affect,available,d_combined,67,-0.022388059701492574,0.29850746268656714,primary
whatsapp_igr_HM,affect,available,d_education,175,-0.04357142857142855,0.2742857142857143,primary
whatsapp_igr_HM,affect,available,d_gender,0,NA,NA,primary
whatsapp_igr_HM,affect,available,d_income,275,0.013636363636363622,0.3890909090909091,primary
whatsapp_igr_HM,affect,available,h,750,0.016499158227686158,0.3293333333333333,primary
whatsapp_igr_HM,affect,available,p,656,-0.07869664634146335,0.20426829268292682,primary
whatsapp_igr_HM,affect,available,p_absolute,830,-0.003915662650602359,0.3096385542168675,primary
whatsapp_igr_HM,stereotype_judgment,available,d_combined,60,-0.01874999999999998,0.35,primary
whatsapp_igr_HM,stereotype_judgment,available,d_education,153,-0.0392156862745098,0.26143790849673204,primary
whatsapp_igr_HM,stereotype_judgment,available,d_gender,0,NA,NA,primary
whatsapp_igr_HM,stereotype_judgment,available,d_income,212,-0.004716981132075499,0.330188679245283,primary
whatsapp_igr_HM,stereotype_judgment,available,h,600,0.010606601717798205,0.30833333333333335,primary
whatsapp_igr_HM,stereotype_judgment,available,p,0,NA,NA,primary
whatsapp_igr_HM,stereotype_judgment,available,p_absolute,0,NA,NA,primary
