comparison,construct,membership,metric,family_id,mean,positive_fraction,pairs,studies,remaining_families,mean_without_family
Original DPs,policy,available,d_education,18,0.0069501990988455045,0.5046728971962616,321,1,20,0.013143102219087622
Original DPs,policy,available,d_education,1,-0.015191301983843181,0.5081967213114754,61,1,20,0.014250177273222054
Original DPs,policy,available,d_education,2,-0.002640274038315143,0.5343511450381679,131,1,20,0.013622625875945652
Original DPs,policy,available,d_education,3,0.006596750218110018,0.4745762711864407,59,1,20,0.013160774663124394
Original DPs,policy,available,d_education,4,0.009705033963622814,0.5833333333333334,60,1,20,0.013005360475848753
Original DPs,policy,available,d_education,5,0.12121958434573323,0.75,48,1,20,0.007429632956743234
Original DPs,policy,available,d_education,6,0.018323737035849684,0.62,100,1,20,0.012574425322237412
Original DPs,policy,available,d_education,7,0.004299243546557794,0.536,125,1,20,0.013275649996702004
Original DPs,policy,available,d_education,8,-0.0022852499194534227,0.5106382978723404,94,1,20,0.013604874670002567
Original DPs,policy,available,d_education,19,0.017623859973920013,0.4878048780487805,82,1,20,0.012609419175333893
Original DPs,policy,available,d_education,21,0.02973086356363161,0.5783132530120482,83,1,20,0.012004068995848315
Original DPs,policy,available,d_education,10,0.013216248116208433,0.5531914893617021,188,1,20,0.012829799768219474
Original DPs,policy,available,d_education,9,0.003127378145621501,0.4552238805970149,134,1,20,0.013334243266748818
Original DPs,policy,available,d_education,16,-0.014946615382810328,0.44680851063829785,47,1,20,0.014237942943170412
Original DPs,policy,available,d_education,14,0.00332954064066657,0.5227272727272727,132,1,20,0.013324135141996565
Original DPs,policy,available,d_education,11,0.031896833721833676,0.74,50,1,20,0.011895770487938212
Original DPs,policy,available,d_income,12,0.05495041255779459,0.7142857142857143,28,1,10,-0.0021443541770894297
Original DPs,policy,available,d_income,13,-0.0030129840379044593,0.4675925925925926,216,1,10,0.0036519854824804757
Original DPs,policy,available,d_income,15,0.013943173618793247,0.6111111111111112,90,1,10,0.001956369716810705
Original DPs,policy,available,d_income,17,-0.031172839848437987,0.4166666666666667,96,1,10,0.006467971063533829
Original DPs,policy,available,d_income,2,0.006732541208853037,0.5151515151515151,132,1,10,0.0026774329578047257
Original DPs,policy,available,d_income,4,-0.005271078929688293,0.55,60,1,10,0.003877794971658859
Original DPs,policy,available,d_income,5,0.004002417499757874,0.46808510638297873,47,1,10,0.002950445328714242
Original DPs,policy,available,d_income,8,-0.004184026002830835,0.53125,96,1,10,0.0037690896789731127
Original DPs,policy,available,d_income,10,0.010816941011707937,0.51010101010101,198,1,10,0.0022689929775192358
Original DPs,policy,available,d_income,16,-0.021659125592378342,0.3333333333333333,48,1,10,0.005516599637927864
Original DPs,policy,available,d_income,14,0.008361439301233523,0.5338345864661654,133,1,10,0.0025145431485666773
Original DPs,policy,available,d_combined,12,0.022380070681629317,0.5909090909090909,22,1,10,0.015264835939137768
Original DPs,policy,available,d_combined,13,0.006774163038216393,0.48792270531400966,207,1,10,0.01682542670347906
Original DPs,policy,available,d_combined,15,0.006800967578987231,0.5111111111111111,90,1,10,0.016822746249401978
Original DPs,policy,available,d_combined,17,0.011240705515804205,0.47297297297297297,74,1,10,0.01637877245572028
Original DPs,policy,available,d_combined,2,-0.012993211274726408,0.4519230769230769,104,1,10,0.01880216413477334
Original DPs,policy,available,d_combined,4,0.011681926143476658,0.5535714285714286,56,1,10,0.016334650392953034
Original DPs,policy,available,d_combined,5,0.08876587147420482,0.6222222222222222,45,1,10,0.008626255859880218
Original DPs,policy,available,d_combined,8,0.005307886233324829,0.5555555555555556,90,1,10,0.01697205438396822
Original DPs,policy,available,d_combined,10,0.035339104669461746,0.5748031496062992,127,1,10,0.013968932540354525
Original DPs,policy,available,d_combined,16,-0.013651479259558086,0.4666666666666667,45,1,10,0.018867990933256508
Original DPs,policy,available,d_combined,14,0.013382425272186296,0.5284552845528455,123,1,10,0.01616460048008207
